,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,0.25,0.0,1.5
1,0.06889,0.0025,0.13169,2.9683
2,0.13779,1.9092,0.00067,5.8374
3,0.20668,0.3757,0.0,2.4908
4,0.27558,2.4939,2.91612,5.0251
5,0.34447,1.481,0.85477,6.537
6,0.41337,0.9511,0.0609,3.427
7,0.48226,0.5265,0.0,5.6159
8,0.55116,3.186,0.55175,5.1463
9,0.62005,15.5999,0.06826,4.8574
10,0.68894,23.3202,0.74234,10.6035
11,0.75784,28.5843,1.05354,7.9863
12,0.82673,15.1782,2.98171,7.9207
13,0.89563,10.9208,4.33529,14.7812
14,0.96452,8.4145,5.21111,24.1652
15,1.03342,5.1054,4.79759,22.9273
16,1.10231,6.7509,2.49405,24.7805
17,1.17121,7.9401,1.67021,29.2388
18,1.2401,5.7107,3.28725,29.0981
19,1.309,6.3834,2.04268,34.5003
20,1.37789,6.1892,1.24375,39.2977
21,1.44678,4.4448,1.89694,36.3075
22,1.51568,2.9251,2.48096,33.738
23,1.58457,3.3293,1.4655,31.93
24,1.65347,2.8513,1.32436,30.7411
25,1.72236,1.8081,1.13675,24.4364
26,1.79126,0.8381,0.75059,26.945
27,1.86015,1.8269,1.06172,30.0833
28,1.92905,2.5397,2.94839,20.1136
29,1.99794,1.5171,3.11526,20.9976
30,2.06683,0.7964,1.57503,22.0051
31,2.13573,1.5733,2.0,16.9253
32,2.20462,3.1353,2.18962,17.1291
33,2.27352,1.7226,2.346,12.1853
34,2.34241,1.5629,1.76487,7.0761
35,2.41131,3.3815,1.67995,8.4758
36,2.4802,1.5766,1.57927,6.2378
37,2.5491,2.066,1.34793,5.3975
38,2.61799,1.1396,1.69512,6.0
39,2.68689,2.044,0.92311,6.8947
40,2.75578,1.2274,0.45062,7.8153
41,2.82467,1.75,0.125,5.75
