,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,0.9723,1.66663,3.0833
1,0.06889,1.1959,0.8016,2.828
2,0.13779,3.3148,1.1852,4.3368
3,0.20668,3.2377,1.88116,5.2963
4,0.27558,2.6163,1.58747,3.4764
5,0.34447,3.6657,2.26904,7.1437
6,0.41337,5.5308,2.80859,8.2469
7,0.48226,7.1298,0.47587,5.7036
8,0.55116,14.7523,2.51857,2.5394
9,0.62005,23.4167,3.75005,2.9167
10,0.68894,23.9727,4.72225,4.2099
11,0.75784,24.3294,5.49645,7.5493
12,0.82673,11.8673,6.81788,12.2099
13,0.89563,9.972,5.76916,15.8137
14,0.96452,7.0055,4.11523,25.1861
15,1.03342,6.2408,3.67436,32.4551
16,1.10231,5.6093,2.48216,26.0782
17,1.17121,3.9261,2.46212,28.8166
18,1.2401,5.1667,2.83331,34.5001
19,1.309,3.9818,2.10923,39.6289
20,1.37789,2.2445,2.5799,38.9602
21,1.44678,1.8457,1.75617,35.6528
22,1.51568,3.5186,0.90605,36.6419
23,1.58457,3.5931,1.82169,35.2628
24,1.65347,1.3333,4.03395,25.7869
25,1.72236,1.9777,5.56482,21.7352
26,1.79126,3.2222,4.00001,19.2996
27,1.86015,4.6528,4.47228,14.6805
28,1.92905,2.6053,4.83611,11.487
29,1.99794,0.8388,2.0722,10.7686
30,2.06683,1.321,1.43829,10.0309
31,2.13573,2.1764,1.49419,9.3928
32,2.20462,2.2939,1.50276,6.7194
33,2.27352,1.5154,1.53861,4.0802
34,2.34241,3.2695,1.98494,3.6056
35,2.41131,4.023,1.36337,4.9051
36,2.4802,2.9167,1.08334,4.5833
