,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,4.625,1.5,9.75
1,0.06889,4.8379,2.1404,7.3295
2,0.13779,2.0268,3.3106,11.4507
3,0.20668,1.2827,4.0215,11.945
4,0.27558,4.5147,2.0735,8.0787
5,0.34447,7.2929,2.7206,11.2957
6,0.41337,13.4144,7.7184,17.093
7,0.48226,17.7618,11.869,19.9991
8,0.55116,24.3075,12.1929,30.9542
9,0.62005,16.036,9.1779,37.0164
10,0.68894,8.1791,7.1289,40.5363
11,0.75784,2.6941,4.876,49.1539
12,0.82673,7.9351,3.7275,41.064
13,0.89563,10.509,2.9463,40.97
14,0.96452,10.7431,3.7863,46.6574
15,1.03342,8.8166,4.1397,53.051
16,1.10231,4.41,3.606,51.5446
17,1.17121,6.125,4.6094,56.3906
18,1.2401,2.4628,5.9524,46.378
19,1.309,5.7794,5.6764,42.1977
20,1.37789,5.2119,4.2396,42.9948
21,1.44678,1.4383,3.0684,32.1097
22,1.51568,5.0251,1.2599,30.3335
23,1.58457,1.1294,0.8711,23.8343
24,1.65347,0.9719,1.0735,29.9135
25,1.72236,0.6452,1.4393,33.3403
26,1.79126,3.6548,1.0,30.5069
27,1.86015,1.0014,1.0,20.4886
28,1.92905,0.487,1.0311,18.4671
29,1.99794,2.5012,4.1483,12.8562
30,2.06683,1.7206,2.3296,13.6272
31,2.13573,1.7332,2.7206,10.7788
32,2.20462,1.8759,1.1994,8.5177
33,2.27352,2.9359,0.3992,4.23
34,2.34241,0.5,0.75,3.75
