,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,0.5,0.5,4.5
1,0.06889,5.7647,1.0,2.6176
2,0.13779,1.0,1.4706,2.9412
3,0.20668,10.6765,0.1471,1.7059
4,0.27558,31.6471,1.9706,3.9412
5,0.34447,47.6176,2.1765,1.1765
6,0.41337,65.6765,9.0,5.1765
7,0.48226,59.1765,9.6471,7.6471
8,0.55116,31.8235,10.1176,12.9118
9,0.62005,13.6471,11.4706,11.7941
10,0.68894,14.2353,4.3235,21.6765
11,0.75784,12.0294,3.0,20.7647
12,0.82673,13.6471,1.9118,35.4118
13,0.89563,13.8529,0.0882,26.0294
14,0.96452,4.4412,2.7059,23.8529
15,1.03342,4.0,3.4706,37.2647
16,1.10231,4.6176,3.3824,27.8529
17,1.17121,4.5,4.0,28.5
18,1.2401,3.1471,3.8529,34.2647
19,1.309,2.2059,2.4706,28.4706
20,1.37789,3.0,1.1471,34.7647
21,1.44678,6.8824,0.0294,28.7647
22,1.51568,4.0882,0.3529,19.9118
23,1.58457,0.7941,1.0,17.4706
24,1.65347,0.6471,0.6471,16.2059
25,1.72236,0.0,0.4412,17.7647
26,1.79126,0.4412,1.5588,14.0
27,1.86015,4.0588,1.6471,15.1176
28,1.92905,2.5882,1.2059,19.1471
29,1.99794,2.8235,0.0,12.3824
30,2.06683,6.2059,2.9412,6.3235
31,2.13573,1.8529,3.0,9.0294
32,2.20462,2.4706,2.0,6.9706
33,2.27352,2.7647,1.6176,6.8529
34,2.34241,0.5,1.0,6.5
