,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,0.917,0.1667,4.4166
1,0.06889,1.444,0.568,2.9174
2,0.13779,2.642,1.0,2.5745
3,0.20668,2.028,1.0,4.3828
4,0.27558,2.569,1.0031,2.3776
5,0.34447,1.961,1.0,0.603
6,0.41337,4.18,1.4506,0.5016
7,0.48226,5.691,1.4139,2.575
8,0.55116,11.839,2.1664,3.3018
9,0.62005,20.9,2.6703,1.9836
10,0.68894,21.154,4.3127,4.1018
11,0.75784,34.298,5.4722,6.8706
12,0.82673,68.471,6.6499,7.2716
13,0.89563,109.514,14.8537,7.1374
14,0.96452,153.995,21.7471,9.4005
15,1.03342,145.935,21.3838,17.2899
16,1.10231,102.072,17.6523,21.7606
17,1.17121,62.104,13.2367,20.0367
18,1.2401,45.9,8.4499,26.1677
19,1.309,32.849,7.1389,27.8055
20,1.37789,22.14,5.7725,25.9936
21,1.44678,18.218,4.5843,29.0052
22,1.51568,11.677,5.749,31.8345
23,1.58457,7.244,3.9487,27.6362
24,1.65347,8.553,1.7281,26.5228
25,1.72236,5.929,2.3938,28.7544
26,1.79126,4.031,3.4518,29.7286
27,1.86015,2.007,2.0845,29.1983
28,1.92905,1.007,1.0206,27.6452
29,1.99794,0.406,1.6354,30.2587
30,2.06683,1.575,1.3677,23.9746
31,2.13573,1.347,1.886,19.2786
32,2.20462,1.152,2.6783,17.4309
33,2.27352,1.678,3.6364,16.1004
34,2.34241,3.015,2.2182,13.6468
35,2.41131,2.291,1.6743,16.2309
36,2.4802,5.093,1.4188,12.8154
37,2.5491,11.164,2.0329,11.9152
38,2.61799,15.42,2.5031,12.858
39,2.68689,12.506,2.2637,8.506
40,2.75578,5.266,2.1371,5.1127
41,2.82467,1.876,1.2542,6.3524
42,2.89357,0.702,1.0,6.7645
43,2.96246,1.158,2.7842,4.7467
44,3.03136,2.327,2.0965,3.7885
45,3.10025,3.459,1.6755,3.6956
46,3.16915,1.329,0.8327,2.3163
47,3.23804,1.87,1.659,2.3375
48,3.30694,1.148,3.4039,2.439
49,3.37583,1.092,3.1791,2.237
50,3.44472,2.197,3.6024,2.7223
51,3.51362,4.942,2.4347,3.7823
52,3.58251,1.973,2.781,0.8143
53,3.65141,1.815,0.5744,0.8075
54,3.7203,8.399,0.8677,3.3676
55,3.7892,2.684,1.0151,1.7139
56,3.85809,0.528,1.6194,1.7885
57,3.92699,1.194,2.7777,1.6944
