,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,6.5833,1.0833,2.0833
1,0.06889,9.2764,0.5317,2.0341
2,0.13779,11.0935,1.1003,3.603
3,0.20668,20.2672,1.2846,6.4417
4,0.27558,35.4708,3.1656,4.2982
5,0.34447,49.5259,9.0429,12.9193
6,0.41337,62.7111,8.6548,24.6051
7,0.48226,58.3673,10.1359,37.254
8,0.55116,42.085,10.4613,44.4283
9,0.62005,17.4163,8.7293,72.2095
10,0.68894,11.6687,6.4838,69.2133
11,0.75784,24.4813,4.9074,89.8976
12,0.82673,22.1929,4.0118,84.0374
13,0.89563,19.0736,3.1341,86.8045
14,0.96452,18.5717,2.6844,87.1144
15,1.03342,11.4237,1.453,74.6367
16,1.10231,4.5002,0.7033,78.7458
17,1.17121,3.5752,0.7899,68.8226
18,1.2401,5.1306,1.622,63.9067
19,1.309,4.7842,2.5041,66.9655
20,1.37789,5.9173,2.321,63.6335
21,1.44678,3.5884,1.994,63.7816
22,1.51568,4.9465,1.0452,55.8991
23,1.58457,5.751,1.752,43.3507
24,1.65347,4.3015,2.2842,39.1024
25,1.72236,2.4436,1.0,28.1119
26,1.79126,0.8811,1.0,16.5357
27,1.86015,3.2348,1.1733,16.3794
28,1.92905,0.3414,1.3903,16.5648
29,1.99794,0.1482,0.0,15.8579
30,2.06683,2.0012,0.0744,11.1431
31,2.13573,0.0295,0.0051,10.1831
32,2.20462,0.2252,0.7138,10.6821
33,2.27352,0.0,0.1891,9.6253
34,2.34241,0.9373,0.0702,10.9333
35,2.41131,1.6747,1.2438,12.2356
36,2.4802,0.4477,0.5737,10.358
37,2.5491,0.7404,0.1425,12.5874
38,2.61799,0.658,0.1235,11.3679
39,2.68689,0.5216,0.7479,6.9631
40,2.75578,0.4439,0.6732,5.1286
41,2.82467,0.4167,0.0,5.5
