,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,3.5,2.6875,3.875
1,0.06889,4.0123,1.26235,3.0586
2,0.13779,6.3796,1.55093,3.902
3,0.20668,11.4444,2.33333,5.4444
4,0.27558,19.2847,5.54321,5.9599
5,0.34447,16.0463,4.52778,11.9753
6,0.41337,34.7847,6.18056,10.4167
7,0.48226,31.6543,8.60494,12.4074
8,0.55116,30.1381,8.25849,19.9074
9,0.62005,17.9167,5.25,21.4167
10,0.68894,13.3356,5.21836,21.0988
11,0.75784,11.0617,4.66667,21.9506
12,0.82673,2.6875,2.6875,18.5139
13,0.89563,0.7315,0.44444,17.4568
14,0.96452,2.6242,1.37114,13.2978
15,1.03342,7.3333,2.55556,18.3333
16,1.10231,0.7554,0.23225,16.0972
17,1.17121,0.6944,0.0,9.1327
18,1.2401,1.5833,0.83333,9.4375
19,1.309,2.6667,2.16049,11.5432
20,1.37789,1.385,1.48997,7.1821
21,1.44678,1.0833,1.69444,4.4722
22,1.51568,1.284,3.11728,7.0764
23,1.58457,0.3457,2.39506,5.4568
24,1.65347,0.5764,0.76389,4.0764
25,1.72236,1.4506,0.10802,4.0864
26,1.79126,0.0,0.04707,3.4205
27,1.86015,1.819e-12,1.0,5.0
