,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,1.7779,0.1389,4.083
1,0.06889,0.4811,0.2955,3.456
2,0.13779,0.7491,0.2117,6.667
3,0.20668,0.807,0.8867,5.283
4,0.27558,2.0171,0.1316,3.79
5,0.34447,3.2724,0.6925,3.216
6,0.41337,7.1999,0.7807,1.739
7,0.48226,10.7238,1.3841,3.255
8,0.55116,14.3576,2.1632,12.509
9,0.62005,32.566,7.063,18.965
10,0.68894,30.7693,8.4271,36.055
11,0.75784,29.9316,10.5327,50.487
12,0.82673,26.7453,9.2736,80.026
13,0.89563,12.2346,10.7866,116.805
14,0.96452,4.7533,4.3001,125.14
15,1.03342,4.4066,5.2527,148.361
16,1.10231,3.788,3.4365,157.026
17,1.17121,5.65,3.6787,146.661
18,1.2401,4.3625,1.3452,120.604
19,1.309,0.6667,1.3333,111.333
20,1.37789,4.6549,0.9972,97.756
21,1.44678,1.3684,0.7412,75.762
22,1.51568,2.367,2.9042,65.935
23,1.58457,2.5965,2.2188,54.289
24,1.65347,1.5682,1.0108,54.121
25,1.72236,0.4829,1.1957,38.459
26,1.79126,2.1491,0.6166,38.19
27,1.86015,1.2767,0.8206,30.354
28,1.92905,2.2303,0.9674,27.257
29,1.99794,1.0222,0.602,26.332
30,2.06683,2.7823,0.8317,21.197
31,2.13573,1.8993,0.6537,17.642
32,2.20462,0.0,1.2823,17.144
33,2.27352,0.0668,0.056,12.737
34,2.34241,0.7371,0.5353,22.023
35,2.41131,1.831,0.9261,13.768
36,2.4802,0.4105,0.4825,10.118
37,2.5491,0.1551,0.5716,6.937
38,2.61799,0.9167,0.8333,7.083
