,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,3.8125,1.25,8.0625
1,0.06889,2.6366,1.71203,11.6088
2,0.13779,1.1287,1.01063,10.2931
3,0.20668,1.6833,1.62937,14.2497
4,0.27558,1.26,1.18,11.12
5,0.34447,7.2188,1.57812,13.6523
6,0.41337,12.4181,3.75437,13.0575
7,0.48226,24.8122,2.66453,8.0209
8,0.55116,29.7375,1.45,7.73
9,0.62005,29.7995,3.87453,6.3741
10,0.68894,14.3594,3.5625,7.375
11,0.75784,10.1462,6.34234,13.5191
12,0.82673,6.92,5.14,25.74
13,0.89563,13.6587,5.97906,29.2792
14,0.96452,15.44,2.69125,33.5675
15,1.03342,17.1875,2.33594,42.1367
16,1.10231,25.66,2.635,34.645
17,1.17121,24.3994,2.40203,45.0628
18,1.2401,17.34,2.8,46.2381
19,1.309,9.053,0.93937,38.2709
20,1.37789,7.5,2.0,40.5
21,1.44678,12.4028,2.07312,37.8039
22,1.51568,9.7437,1.02875,38.2325
23,1.58457,4.7869,1.0,29.9825
24,1.65347,4.935,2.9,34.935
25,1.72236,4.7695,2.12109,29.6992
26,1.79126,2.8881,2.10562,23.4706
27,1.86015,1.5877,1.08312,29.0339
28,1.92905,0.86,1.0,20.74
29,1.99794,0.0731,0.1125,21.1366
30,2.06683,1.8594,1.75,14.3594
31,2.13573,2.0875,0.275,6.6986
32,2.20462,0.35,0.85,6.165
33,2.27352,1.6561,0.1625,7.7291
34,2.34241,1.1456,0.025,8.7631
35,2.41131,0.2773,0.11328,5.7148
36,2.4802,0.04,0.84,5.56
37,2.5491,1.3584,1.0,6.6211
38,2.61799,0.3713,0.225,6.8713
39,2.68689,0.0,1.525,6.1245
40,2.75578,0.5625,1.8125,7.0625
