,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,1.625,0.25,6.0
1,0.06889,1.2308,1.39275,4.8545
2,0.13779,0.6284,1.62163,4.7304
3,0.20668,2.358,1.28846,3.0636
4,0.27558,2.9809,1.36793,2.9988
5,0.34447,2.5519,1.0,3.8281
6,0.41337,2.6657,1.42456,4.426
7,0.48226,8.7045,1.04043,3.1257
8,0.55116,13.0267,1.83218,3.387
9,0.62005,16.2715,2.76405,3.6657
10,0.68894,19.1621,3.26644,6.6511
11,0.75784,18.7952,4.39103,10.6397
12,0.82673,13.8609,3.77293,9.9578
13,0.89563,10.7222,2.02778,9.875
14,0.96452,11.0491,1.13149,12.2885
15,1.03342,7.5607,2.10059,15.6938
16,1.10231,6.7013,1.73628,19.5384
17,1.17121,4.9307,0.56279,20.3653
18,1.2401,1.2885,0.63609,20.682
19,1.309,0.2876,1.49359,18.4407
20,1.37789,1.5453,1.47954,19.0397
21,1.44678,1.6694,1.71893,19.3735
22,1.51568,3.402,1.35897,17.1384
23,1.58457,4.1415,1.0,15.4083
24,1.65347,1.3513,2.89867,12.7123
25,1.72236,0.1185,3.25,13.548
26,1.79126,0.0556,2.97222,9.4167
27,1.86015,3.2618,2.27515,5.5
28,1.92905,2.2369,2.56106,4.2753
29,1.99794,1.598,3.55769,4.7299
30,2.06683,0.5799,2.6997,2.9408
31,2.13573,1.4333,2.04635,3.9887
32,2.20462,1.9816,1.93672,3.5184
33,2.27352,1.2774,1.23891,5.0688
34,2.34241,1.6949,0.29602,6.6999
35,2.41131,7.0077,0.02564,4.1583
36,2.4802,3.8972,0.01923,3.0015
37,2.5491,4.171,0.74055,4.4521
38,2.61799,2.7705,0.25641,3.5095
39,2.68689,1.25,0.0,2.25
